time,temp
1704218400.0,26.4
1704220200.0,27.0
1704222000.0,26.9
1704223800.0,26.8
1704225600.0,26.8
1704227400.0,27.3
1704229200.0,27.9
1704231000.0,28.1
1704232800.0,27.7
1704234600.0,27.0
1704236400.0,27.0
1704238200.0,27.4
1704240000.0,27.4
1704241800.0,27.2
1704243600.0,26.9
1704245400.0,26.9
1704247200.0,26.6
1704249000.0,26.3
1704250800.0,26.2
1704252600.0,26.0
1704254400.0,26.1
1704256200.0,26.0
1704258000.0,26.1
1704259800.0,26.1
1704261600.0,26.0
1704263400.0,26.1
1704265200.0,25.9
1704267000.0,26.1
1704268800.0,26.5
1704270600.0,26.5
1704272400.0,26.1
1704274200.0,26.3
1704276000.0,26.6
1704277800.0,26.8
1704279600.0,26.8
1704281400.0,26.8
1704283200.0,26.8
1704285000.0,27.1
1704286800.0,27.3
1704288600.0,27.6
1704290400.0,27.7
1704292200.0,27.9
1704294000.0,28.1
1704295800.0,28.3
1704297600.0,28.7
1704299400.0,28.9
1704301200.0,29.0
1704303000.0,29.2
1704304800.0,29.2
1704306600.0,29.2
1704308400.0,29.0
1704310200.0,28.8
1704312000.0,28.6
1704313800.0,26.5
1704315600.0,25.8
1704317400.0,26.2
1704319200.0,27.5
1704321000.0,28.1
1704322800.0,27.9
1704324600.0,27.6
1704326400.0,27.8
1704328200.0,27.7
1704330000.0,26.8
1704331800.0,26.4
1704333600.0,26.6
1704335400.0,26.3
1704337200.0,26.2
1704339000.0,26.2
1704340800.0,26.0
1704342600.0,25.7
1704344400.0,26.0
1704346200.0,26.0
1704348000.0,25.9
1704349800.0,25.8
1704351600.0,25.6
1704353400.0,24.9
1704355200.0,25.2
1704357000.0,25.8
1704358800.0,25.8
1704360600.0,25.9
1704362400.0,26.0
1704364200.0,26.1
1704366000.0,26.0
1704367800.0,25.9
1704369600.0,26.1
1704371400.0,26.5
1704373200.0,26.8
1704375000.0,27.2
1704376800.0,27.5
1704378600.0,27.8
1704380400.0,28.2
1704382200.0,28.6
1704384000.0,28.8
1704385800.0,29.0
1704387600.0,29.2
1704389400.0,29.1
1704391200.0,28.5
1704393000.0,26.3
1704394800.0,27.6
1704396600.0,28.5
1704398400.0,28.7
1704400200.0,28.6
1704402000.0,28.4
1704403800.0,27.8
1704405600.0,27.2
1704407400.0,26.5
1704409200.0,26.4
1704411000.0,27.3
1704412800.0,27.3
1704414600.0,27.2
1704416400.0,27.0
1704418200.0,26.9
1704420000.0,26.8
1704421800.0,26.4
1704423600.0,26.1
1704425400.0,25.8
1704427200.0,25.7
1704429000.0,25.5
1704430800.0,25.2
1704432600.0,25.1
1704434400.0,25.1
1704436200.0,25.7
1704438000.0,26.0
1704439800.0,26.3
1704441600.0,26.4
1704443400.0,26.5
1704445200.0,26.7
1704447000.0,27.3
1704448800.0,27.2
1704450600.0,27.4
1704452400.0,27.8
1704454200.0,28.2
1704456000.0,28.4
1704457800.0,28.6
1704459600.0,28.7
1704461400.0,28.8
1704463200.0,29.0
1704465000.0,29.3
1704466800.0,29.6
1704468600.0,30.1
1704470400.0,30.5
1704472200.0,30.9
1704474000.0,31.3
1704475800.0,31.6
1704477600.0,32.0
1704479400.0,32.3
1704481200.0,32.5
1704483000.0,32.6
1704484800.0,31.2
1704486600.0,30.0
1704488400.0,29.1
1704490200.0,28.9
1704492000.0,30.4
1704493800.0,29.1
1704495600.0,28.7
1704497400.0,28.5
1704499200.0,28.7
1704501000.0,29.0
1704502800.0,28.5
1704504600.0,28.1
1704506400.0,27.9
1704508200.0,27.6
1704510000.0,27.4
1704511800.0,27.1
1704513600.0,26.8
1704515400.0,26.8
1704517200.0,26.9
1704519000.0,27.4
1704520800.0,27.4
1704522600.0,26.6
1704524400.0,26.7
1704526200.0,26.7
1704528000.0,26.9
1704529800.0,27.3
1704531600.0,27.6
1704533400.0,27.8
1704535200.0,28.0
1704537000.0,28.3
1704538800.0,28.6
1704540600.0,29.0
1704542400.0,29.5
1704544200.0,29.5
1704546000.0,30.4
1704547800.0,30.1
1704549600.0,30.3
1704551400.0,30.6
1704553200.0,30.9
1704555000.0,31.1
1704556800.0,31.3
1704558600.0,31.5
1704560400.0,31.8
1704562200.0,32.0
1704564000.0,32.2
1704565800.0,32.1
1704567600.0,31.8
1704569400.0,31.7
1704571200.0,31.7
1704573000.0,31.5
1704574800.0,31.5
1704576600.0,31.4
1704578400.0,31.3
1704580200.0,31.4
1704582000.0,31.4
1704583800.0,31.2
1704585600.0,31.1
1704587400.0,31.1
1704589200.0,31.1
1704591000.0,31.0
1704592800.0,30.7
1704594600.0,30.7
1704596400.0,30.6
1704598200.0,30.4
1704600000.0,30.3
1704601800.0,30.2
1704603600.0,30.0
1704605400.0,30.0
1704607200.0,29.5
1704609000.0,29.4
1704610800.0,29.4
1704612600.0,28.7
1704614400.0,29.2
1704616200.0,29.5
1704618000.0,29.9
1704619800.0,30.1
1704621600.0,30.2
1704623400.0,30.1
1704625200.0,30.1
1704627000.0,30.0
1704628800.0,30.1
1704630600.0,29.3
1704632400.0,28.8
1704634200.0,28.7
1704636000.0,28.4
1704637800.0,28.4
1704639600.0,28.4
1704641400.0,28.6
1704643200.0,28.7
1704645000.0,28.3
1704646800.0,28.6
1704648600.0,28.6
1704650400.0,28.3
1704652200.0,28.1
1704654000.0,27.9
1704655800.0,28.0
1704657600.0,27.9
1704659400.0,27.9
1704661200.0,27.8
1704663000.0,27.2
1704664800.0,27.7
1704666600.0,27.5
1704668400.0,27.4
1704670200.0,27.7
1704672000.0,27.8
1704673800.0,27.8
1704675600.0,27.5
1704677400.0,27.3
1704679200.0,27.2
1704681000.0,27.1
1704682800.0,27.0
1704684600.0,27.0
1704686400.0,27.1
1704688200.0,26.8
1704690000.0,27.0
1704691800.0,27.0
1704693600.0,27.1
1704695400.0,27.0
1704697200.0,26.9
1704699000.0,26.7
1704700800.0,26.4
1704702600.0,26.5
1704704400.0,26.5
1704706200.0,26.8
1704708000.0,26.9
1704709800.0,26.8
1704711600.0,26.7
1704713400.0,26.7
1704715200.0,26.3
1704717000.0,24.9
1704718800.0,24.7
1704720600.0,25.5
1704722400.0,25.6
1704724200.0,25.7
1704726000.0,25.7
1704727800.0,25.5
1704729600.0,25.5
1704731400.0,25.5
1704733200.0,25.5
1704735000.0,25.5
1704736800.0,25.5
1704738600.0,25.6
1704740400.0,25.8
1704742200.0,25.9
1704744000.0,26.1
1704745800.0,26.3
1704747600.0,26.3
1704749400.0,26.4
1704751200.0,26.3
1704753000.0,25.5
1704754800.0,25.4
1704756600.0,25.5
1704758400.0,25.2
1704760200.0,24.7
1704762000.0,24.5
1704763800.0,24.4
1704765600.0,24.1
1704767400.0,24.0
1704769200.0,23.7
1704771000.0,23.3
1704772800.0,23.3
1704774600.0,23.5
1704776400.0,23.2
1704778200.0,22.9
1704780000.0,23.3
1704781800.0,23.6
1704783600.0,24.0
1704785400.0,24.2
1704787200.0,24.4
1704789000.0,24.7
1704790800.0,25.0
1704792600.0,25.3
1704794400.0,25.9
1704796200.0,25.9
1704798000.0,25.9
1704799800.0,26.1
1704801600.0,26.4
1704803400.0,26.6
1704805200.0,26.7
1704807000.0,27.0
1704808800.0,27.3
1704810600.0,27.7
1704812400.0,28.1
1704814200.0,28.5
1704816000.0,28.8
1704817800.0,28.8
1704819600.0,29.0
1704821400.0,29.3
1704823200.0,29.7
1704825000.0,30.0
1704826800.0,30.2
1704828600.0,30.4
1704830400.0,28.7
1704832200.0,29.4
1704834000.0,29.4
1704835800.0,28.4
1704837600.0,28.2
1704839400.0,28.0
1704841200.0,27.7
1704843000.0,27.7
1704844800.0,27.5
1704846600.0,27.6
1704848400.0,27.8
1704850200.0,27.7
1704852000.0,27.4
1704853800.0,27.2
1704855600.0,27.2
1704857400.0,27.2
1704859200.0,26.9
1704861000.0,26.8
1704862800.0,26.7
1704864600.0,26.7
1704866400.0,26.7
1704868200.0,26.7
1704870000.0,26.9
1704871800.0,27.2
1704873600.0,27.5
1704875400.0,27.9
1704877200.0,28.1
1704879000.0,28.3
1704880800.0,28.4
1704882600.0,28.7
1704884400.0,28.6
1704886200.0,28.6
1704888000.0,28.9
1704889800.0,29.3
1704891600.0,29.5
1704893400.0,29.4
1704895200.0,29.4
1704897000.0,29.4
1704898800.0,29.6
1704900600.0,29.6
1704902400.0,29.4
1704904200.0,29.4
1704906000.0,29.6
1704907800.0,30.0
1704909600.0,30.2
1704911400.0,30.2
1704913200.0,30.1
1704915000.0,29.9
1704916800.0,28.1
1704918600.0,27.7
1704920400.0,27.5
1704922200.0,26.6
1704924000.0,26.3
1704925800.0,26.6
1704927600.0,26.3
1704929400.0,26.3
1704931200.0,25.9
1704933000.0,25.6
1704934800.0,25.0
1704936600.0,25.2
1704938400.0,25.1
1704940200.0,24.5
1704942000.0,25.0
1704943800.0,25.5
1704945600.0,25.6
1704947400.0,25.6
1704949200.0,25.6
1704951000.0,25.6
1704952800.0,25.6
1704954600.0,25.5
1704956400.0,25.5
1704958200.0,25.3
1704960000.0,25.1
1704961800.0,24.4
1704963600.0,24.4
1704965400.0,24.7
1704967200.0,25.2
1704969000.0,25.5
1704970800.0,25.8
1704972600.0,26.1
1704974400.0,26.4
1704976200.0,26.8
1704978000.0,27.0
1704979800.0,27.3
1704981600.0,27.3
1704983400.0,27.2
1704985200.0,27.3
1704987000.0,27.6
1704988800.0,28.0
1704990600.0,28.7
1704992400.0,28.7
1704994200.0,28.9
1704996000.0,28.8
1704997800.0,28.8
1704999600.0,29.2
1705001400.0,28.9
1705003200.0,27.8
1705005000.0,27.3
1705006800.0,26.9
1705008600.0,26.6
1705010400.0,26.4
1705012200.0,26.4
1705014000.0,26.3
1705015800.0,26.2
1705017600.0,26.2
1705019400.0,25.9
1705021200.0,26.0
1705023000.0,25.8
1705024800.0,25.6
1705026600.0,25.1
1705028400.0,24.9
1705030200.0,24.7
1705032000.0,24.7
1705033800.0,24.7
1705035600.0,24.7
1705037400.0,24.5
1705039200.0,24.6
1705041000.0,24.6
1705042800.0,24.7
1705044600.0,24.8
1705046400.0,25.0
1705048200.0,25.3
1705050000.0,26.2
1705051800.0,26.3
1705053600.0,26.8
1705055400.0,27.2
1705057200.0,27.6
1705059000.0,28.3
1705060800.0,28.8
1705062600.0,29.0
1705064400.0,29.6
1705066200.0,30.0
1705068000.0,30.1
1705069800.0,30.4
1705071600.0,31.0
1705073400.0,31.2
1705075200.0,31.5
1705077000.0,31.9
1705078800.0,32.4
1705080600.0,32.6
1705082400.0,32.9
1705084200.0,32.9
1705086000.0,33.1
1705087800.0,33.0
1705089600.0,31.3
1705091400.0,30.7
1705093200.0,30.5
1705095000.0,30.3
1705096800.0,30.0
1705098600.0,29.7
1705100400.0,29.4
1705102200.0,29.2
1705104000.0,28.5
1705105800.0,28.5
1705107600.0,28.7
1705109400.0,28.7
1705111200.0,28.6
1705113000.0,28.2
1705114800.0,27.7
1705116600.0,27.3
1705118400.0,26.8
1705120200.0,25.6
1705122000.0,25.0
1705123800.0,25.4
1705125600.0,25.8
1705127400.0,26.4
1705129200.0,26.9
1705131000.0,26.8
1705132800.0,26.9
1705134600.0,26.6
1705136400.0,27.3
1705138200.0,27.6
1705140000.0,27.7
1705141800.0,28.0
1705143600.0,28.0
1705145400.0,28.1
1705147200.0,28.0
1705149000.0,28.3
1705150800.0,28.5
1705152600.0,28.4
1705154400.0,28.2
1705156200.0,28.1
1705158000.0,27.9
1705159800.0,27.8
1705161600.0,27.6
1705163400.0,27.6
1705165200.0,27.7
1705167000.0,27.9
1705168800.0,28.2
1705170600.0,28.3
1705172400.0,27.2
1705174200.0,26.0
1705176000.0,27.3
1705177800.0,27.4
1705179600.0,26.7
1705181400.0,26.5
1705183200.0,26.7
1705185000.0,26.8
1705186800.0,26.0
1705188600.0,25.7
1705190400.0,25.2
1705192200.0,24.6
1705194000.0,24.2
1705195800.0,24.1
1705197600.0,24.1
1705199400.0,23.9
1705201200.0,23.5
1705203000.0,23.8
1705204800.0,24.1
1705206600.0,24.1
1705208400.0,23.8
1705210200.0,23.9
1705212000.0,24.0
1705213800.0,23.9
1705215600.0,23.8
1705217400.0,24.0
1705219200.0,24.1
1705221000.0,24.4
1705222800.0,24.5
1705224600.0,24.8
1705226400.0,25.1
1705228200.0,25.3
1705230000.0,25.6
1705231800.0,25.9
1705233600.0,26.2
1705235400.0,26.2
1705237200.0,26.4
1705239000.0,26.8
1705240800.0,27.1
1705242600.0,27.4
1705244400.0,27.6
1705246200.0,27.9
1705248000.0,28.3
1705249800.0,28.5
1705251600.0,27.6
1705253400.0,26.7
1705255200.0,27.3
1705257000.0,27.8
1705258800.0,27.7
1705260600.0,27.3
1705262400.0,27.2
1705264200.0,27.7
1705266000.0,27.7
1705267800.0,26.9
1705269600.0,25.6
1705271400.0,25.3
1705273200.0,25.0
1705275000.0,24.4
1705276800.0,24.3
1705278600.0,24.2
1705280400.0,24.2
1705282200.0,24.2
1705284000.0,24.2
1705285800.0,24.2
1705287600.0,24.1
1705289400.0,24.7
1705291200.0,24.9
1705293000.0,24.8
1705294800.0,24.3
1705296600.0,24.1
1705298400.0,24.4
1705300200.0,24.6
1705302000.0,24.8
1705303800.0,24.8
1705305600.0,24.9
1705307400.0,25.3
1705309200.0,25.5
1705311000.0,25.7
1705312800.0,25.9
1705314600.0,26.3
1705316400.0,26.6
1705318200.0,26.8
1705320000.0,27.2
1705321800.0,27.5
1705323600.0,27.7
1705325400.0,28.1
1705327200.0,28.6
1705329000.0,29.0
1705330800.0,29.4
1705332600.0,29.8
1705334400.0,30.3
1705336200.0,30.6
1705338000.0,31.0
1705339800.0,31.4
1705341600.0,31.5
1705343400.0,31.6
1705345200.0,31.5
1705347000.0,31.7
1705348800.0,30.9
1705350600.0,29.9
1705352400.0,30.0
1705354200.0,29.8
1705356000.0,29.0
1705357800.0,28.5
1705359600.0,28.3
