time,temp
1704218400.0,19.72
1704220200.0,19.96
1704222000.0,19.96
1704223800.0,20.17
1704225600.0,20.17
1704227400.0,20.24
1704229200.0,20.24
1704231000.0,20.93
1704232800.0,20.93
1704234600.0,20.68
1704236400.0,20.68
1704238200.0,19.28
1704240000.0,19.28
1704241800.0,17.38
1704243600.0,17.38
1704245400.0,15.83
1704247200.0,15.83
1704249000.0,14.96
1704250800.0,14.96
1704252600.0,14.26
1704254400.0,14.26
1704256200.0,14.3
1704258000.0,14.3
1704259800.0,14.49
1704261600.0,14.49
1704263400.0,14.44
1704265200.0,14.44
1704267000.0,14.21
1704268800.0,14.21
1704270600.0,14.1
1704272400.0,14.1
1704274200.0,14.58
1704276000.0,14.58
1704277800.0,14.73
1704279600.0,14.73
1704281400.0,14.79
1704283200.0,14.79
1704285000.0,15.21
1704286800.0,15.21
1704288600.0,16.28
1704290400.0,16.28
1704292200.0,17.71
1704294000.0,17.71
1704295800.0,18.14
1704297600.0,18.14
1704299400.0,18.87
1704301200.0,18.87
1704303000.0,18.65
1704304800.0,18.65
1704306600.0,19.75
1704308400.0,19.75
1704310200.0,20.61
1704312000.0,20.61
1704313800.0,20.81
1704315600.0,20.81
1704317400.0,19.42
1704319200.0,19.42
1704321000.0,19.47
1704322800.0,19.47
1704324600.0,18.59
1704326400.0,18.59
1704328200.0,17.49
1704330000.0,17.49
1704331800.0,16.77
1704333600.0,16.77
1704335400.0,16.41
1704337200.0,16.41
1704339000.0,15.77
1704340800.0,15.77
1704342600.0,15.1
1704344400.0,15.1
1704346200.0,14.6
1704348000.0,14.6
1704349800.0,14.24
1704351600.0,14.24
1704353400.0,14.08
1704355200.0,14.08
1704357000.0,14.07
1704358800.0,14.07
1704360600.0,13.82
1704362400.0,13.82
1704364200.0,13.8
1704366000.0,13.8
1704367800.0,14.19
1704369600.0,14.19
1704371400.0,16.24
1704373200.0,16.24
1704375000.0,18.68
1704376800.0,18.68
1704378600.0,20.11
1704380400.0,20.11
1704382200.0,22.96
1704384000.0,22.96
1704385800.0,24.62
1704387600.0,24.62
1704389400.0,24.74
1704391200.0,24.74
1704393000.0,26.26
1704394800.0,26.44
1704396600.0,26.44
1704398400.0,26.39
1704400200.0,26.39
1704402000.0,26.68
1704403800.0,26.68
1704405600.0,27.07
1704407400.0,27.07
1704409200.0,26.44
1704411000.0,26.44
1704412800.0,24.65
1704414600.0,24.65
1704416400.0,23.06
1704418200.0,23.06
1704420000.0,22.67
1704421800.0,22.67
1704423600.0,22.26
1704425400.0,22.26
1704427200.0,21.66
1704429000.0,21.66
1704430800.0,20.48
1704432600.0,20.48
1704434400.0,19.17
1704436200.0,19.17
1704438000.0,18.11
1704439800.0,18.11
1704441600.0,17.32
1704443400.0,17.32
1704445200.0,16.3
1704447000.0,16.3
1704448800.0,15.55
1704450600.0,15.55
1704452400.0,15.31
1704454200.0,15.31
1704456000.0,16.23
1704457800.0,16.23
1704459600.0,17.15
1704461400.0,17.15
1704463200.0,18.06
1704465000.0,18.06
1704466800.0,19.3
1704468600.0,19.3
1704470400.0,20.13
1704472200.0,20.13
1704474000.0,19.8
1704475800.0,19.8
1704477600.0,19.21
1704479400.0,19.21
1704481200.0,19.08
1704483000.0,19.08
1704484800.0,20.81
1704486600.0,19.5
1704488400.0,19.5
1704490200.0,18.68
1704492000.0,18.68
1704493800.0,18.34
1704495600.0,18.34
1704497400.0,17.62
1704499200.0,17.62
1704501000.0,17.32
1704502800.0,17.32
1704504600.0,16.98
1704506400.0,16.98
1704508200.0,16.64
1704510000.0,16.64
1704511800.0,16.46
1704513600.0,16.46
1704515400.0,16.39
1704517200.0,16.39
1704519000.0,16.33
1704520800.0,16.33
1704522600.0,16.32
1704524400.0,16.32
1704526200.0,16.74
1704528000.0,16.74
1704529800.0,17.25
1704531600.0,17.25
1704533400.0,18.1
1704535200.0,18.1
1704537000.0,19.59
1704538800.0,19.59
1704540600.0,21.1
1704542400.0,21.1
1704544200.0,22.5
1704546000.0,22.5
1704547800.0,23.68
1704549600.0,23.68
1704551400.0,24.68
1704553200.0,24.68
1704555000.0,25.5
1704556800.0,25.5
1704558600.0,25.97
1704560400.0,25.97
1704562200.0,25.76
1704564000.0,25.76
1704565800.0,25.27
1704567600.0,25.27
1704569400.0,24.35
1704571200.0,24.35
1704573000.0,22.76
